rule,type,coef,support,importance
gdenergy <= 78.5 & gdpuls > 89.0,rule,0.0,0.01171875,0.0
gdenergy > -86.5 & gdenergy <= 100.5 & gdpuls <= 95.5,rule,0.018167565647603953,0.9375,0.004397667449643755
gdpuls > -89.0 & gdpuls > -27.5 & gdenergy > 54.5 & gdenergy <= 100.5,rule,0.3067379552389754,0.09375,0.08940816182760356
gdenergy <= 91.5 & gdenergy > -83.0 & gdpuls > 83.5,rule,-0.42673070659562234,0.03125,0.07424800064713688
gdenergy <= 107.0,rule,0.0023536662620850164,0.95703125,0.0004772921609532071
gdenergy <= 54.5,rule,-0.00059390843613818,0.8515625,0.00021115412695933854
gdenergy > -86.5 & gdenergy <= 91.0 & gdpuls <= 81.5,rule,0.0,0.8828125,0.0
gdenergy <= 91.5 & gdenergy > -83.0 & gdpuls <= 83.5,rule,0.0,0.87109375,0.0
gdenergy <= 94.0 & gdpuls <= -91.0,rule,0.0,0.0078125,0.0
gdpuls > 64.0 & gdenergy > 33.5,rule,0.0,0.05078125,0.0
gdpuls <= 89.5 & gdpuls <= 91.5 & gdpuls > -91.5 & gdpuls <= 101.0,rule,0.016536771794356146,0.9296875,0.0042280050658607595
gdenergy > -83.5 & gdpuls <= -81.5,rule,0.0,0.01171875,0.0
gdenergy > 71.0 & gdpuls > -77.5 & gdpuls > 4.0,rule,0.030864439963242674,0.08203125,0.008469582725161125
gdenergy > -86.5 & gdenergy <= 99.5 & gdpuls > -93.5 & gdpuls <= 95.5,rule,0.011255232791333772,0.9140625,0.003154523635384552
gdpuls <= -55.0 & gdenergy > 59.5,rule,0.0,0.00390625,0.0
gdpuls <= -87.0 & gdpuls <= -81.5,rule,0.0,0.02734375,0.0
gdpuls > 101.0 & gdpuls > -93.5,rule,-1.5672411685933954,0.04296875,0.31781562923458845
gdenergy > 107.0 & gdenergy > -87.5,rule,-0.04282721851718592,0.03515625,0.007887686397692007
gdpuls > -81.5 & gdenergy <= 71.0,rule,0.08752290255371949,0.8515625,0.031117291745925146
gdpuls > -89.0 & gdenergy <= 107.0 & gdpuls > 91.5,rule,0.0,0.0078125,0.0
gdenergy > -60.5 & gdpuls <= -81.5,rule,0.0,0.01171875,0.0
gdpuls <= -82.5 & gdenergy <= 94.5 & gdenergy > -69.0,rule,0.0,0.015625,0.0
gdenergy > 31.5 & gdpuls > -27.5 & gdpuls > -51.0 & gdenergy > -93.0,rule,-0.017481969226756308,0.203125,0.007033429548545744
gdpuls > -27.5 & gdenergy <= 105.5 & gdpuls <= 96.0 & gdenergy > -87.5 & gdenergy > 59.5,rule,0.07489515046732118,0.0625,0.018129229404477098
gdpuls > -81.5 & gdenergy <= 94.5,rule,0.014497540773692162,0.8828125,0.004663040854538934
gdenergy <= 154.5 & gdpuls > -89.5 & gdpuls <= 86.5 & gdenergy > -87.5 & gdpuls <= -81.5,rule,-0.28280604683641397,0.01953125,0.039135473139707236
gdenergy <= 100.0 & gdpuls > -72.5 & gdenergy <= -86.5,rule,0.0,0.00390625,0.0
