gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1,n_outliers_p1,n_outliers_p0,n_outliers
inf,112.5,inf,-inf,1,0,22,614,614,156,69,69,69
inf,45.5,inf,92.0,2,6,18,614,614,156,69,69,69
inf,107.0,inf,6.0,3,0,23,614,614,156,69,69,69
inf,54.5,inf,99.5,3,0,18,614,614,156,69,69,69
-77.0,-inf,-81.5,-inf,3,0,16,614,614,156,69,69,69
inf,110.5,inf,-inf,2,0,24,614,614,156,69,69,69
109.5,-inf,-81.5,-inf,2,9,20,614,614,156,69,69,69
72.5,-inf,-81.5,-inf,2,9,20,614,614,156,69,69,69
inf,29.5,96.0,66.5,4,23,4,614,614,156,69,69,69
-86.0,-inf,inf,-91.0,2,4,16,614,614,156,69,69,69
inf,45.5,inf,83.5,2,13,21,614,614,156,69,69,69
-84.5,-inf,inf,-inf,1,8,17,614,614,156,69,69,69
